0,Lord Jim,Friedrich Wilhelm Nietzsche,Friedrich Wilhelm Nietzsche,Atheneum Publishers,Childrens Literature
1,WinniethePooh,Vatsyayana,Vatsyayana,Blackstaff Press,Memoir
2,The Yellow Wallpaper,J.R.R. Tolkien,J.R.R. Tolkien,Shambhala Publications,Young Adult
3,Dora,Henry Fielding,Henry Fielding,University of Alaska Press,Comic
4,The Heart is a Lonely Hunter,Samuel Butler,Samuel Butler,Manor House Publishing,Young Adult
5,The Remains of the Day,Michael Chabon,Michael Chabon,Martinus Nijhoff Publishers,Fantasy
6,Grimms Fairy Tales,Ayn Rand,Ayn Rand,Sidgwick & Jackson,Classic
7,The Moviegoer,Jacob Grimm,Jacob Grimm,Jaico Publishing House,Historical Fiction
8,The Little Prince,J.M. Barrie,J.M. Barrie,Cisco Press,Horror
9,The Count of Monte Cristo,Marcel Proust,Marcel Proust,Imperial War Museum,Thriller
